Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
XEL,"XCEL Energy Inc",55.67,0.32,+0.58%,55.72,55.29,3661900,04/11/19
XLNX,"Xilinx Inc",132.07,0.48,+0.36%,132.51,130.63,1663500,04/11/19
XOM,"Exxon Mobil Corp",81.95,0.39,+0.48%,82.07,81.02,9115200,04/11/19
XRAY,"Dentsply Sirona Inc",50.49,-0.12,-0.24%,50.7,50.38,887600,04/11/19
XRX,"Xerox Corp",34.25,0.41,+1.21%,34.34,33.94,2041200,04/11/19
XYL,"Xylem Inc",80.9,1.53,+1.93%,80.95,79.34,749000,04/11/19
YUM,"Yum! Brands",100.77,0.73,+0.73%,100.81,99.73,1169800,04/11/19
ZBH,"Zimmer Biomet Holdings",128.54,-0.3,-0.23%,129.01,127.69,878900,04/11/19
ZION,"Zions Bancorporation",47.5,0.36,+0.76%,47.92,47.13,1480900,04/11/19
ZTS,"Zoetis Inc Cl A",101.06,-0.27,-0.27%,101.74,100.75,1062700,04/11/19
"Downloaded from Barchart.com as of 04-11-2019 10:37pm CDT"
